Time [s],T1,T2,T3,T4,T5
0.000000000,0,0,0,0,0
0.032439875,0,0,0,1,0
0.032881625,0,0,0,0,0
0.082917792,0,0,0,1,0
0.083353500,0,0,0,0,0
0.133397500,0,1,0,0,0
0.133515625,0,0,0,0,0
0.133526500,1,0,0,0,0
0.155486500,0,0,0,0,0
0.155500250,0,0,1,0,0
0.155612625,0,0,0,0,0
0.155630500,0,0,0,1,0
0.156066167,0,0,0,0,0
0.156083042,0,0,0,0,1
0.211598167,0,0,0,0,0
0.211616042,0,0,0,1,0
0.212057792,0,0,0,0,0
0.234362125,0,0,0,1,0
0.234797792,0,0,0,0,0
0.284844875,0,0,0,1,0
0.285280542,0,0,0,0,0
0.335317042,0,0,0,1,0
0.335758792,0,0,0,0,0
0.385805875,0,0,0,1,0
0.386241542,0,0,0,0,0
0.436277750,0,0,0,1,0
0.436713417,0,0,0,0,0
0.486760500,0,0,0,1,0
0.487202250,0,0,0,0,0
0.537243250,0,0,0,1,0
0.537685000,0,0,0,0,0
0.587721500,0,0,0,1,0
0.588157167,0,0,0,0,0
0.638201500,1,0,0,0,0
0.699085417,0,0,0,0,0
0.699096000,0,1,0,0,0
0.699211750,0,0,0,0,0
0.699225500,0,0,1,0,0
0.699340667,0,0,0,0,0
0.699358542,0,0,0,1,0
0.699794250,0,0,0,0,0
0.699811125,0,0,0,0,1
0.755295917,0,0,0,0,0
0.755313792,0,0,0,1,0
0.755755542,0,0,0,0,0
0.789643375,0,0,0,1,0
0.790079042,0,0,0,0,0
0.840126125,0,0,0,1,0
0.840567875,0,0,0,0,0
0.890598292,0,0,0,1,0
0.891040042,0,0,0,0,0
0.941087125,0,0,0,1,0
0.941522792,0,0,0,0,0
0.991559000,0,0,0,1,0
0.991994667,0,0,0,0,0
1.042041750,0,0,0,1,0
1.042483500,0,0,0,0,0
1.092519667,0,0,0,1,0
1.092955375,0,0,0,0,0
1.143000000,1,0,0,0,0
1.203883917,0,0,0,0,0
1.203894500,0,1,0,0,0
1.204011500,0,0,0,0,0
1.204025250,0,0,1,0,0
1.204140750,0,0,0,0,0
1.204158625,0,0,0,1,0
1.204594292,0,0,0,0,0
1.204611167,0,0,0,0,1
1.260121000,0,0,0,0,0
1.260138875,0,0,0,1,0
1.260580625,0,0,0,0,0
1.294446667,0,0,0,1,0
1.294882375,0,0,0,0,0
1.344918542,0,0,0,1,0
1.345360292,0,0,0,0,0
1.395401292,0,0,0,1,0
1.395843042,0,0,0,0,0
1.445879542,0,0,0,1,0
1.446315250,0,0,0,0,0
1.496362292,0,0,0,1,0
1.496798000,0,0,0,0,0
1.546845042,0,0,0,1,0
1.547286792,0,0,0,0,0
1.597323000,0,0,0,1,0
1.597758667,0,0,0,0,0
1.647798125,0,0,0,0,1
1.703307000,0,0,0,0,0
1.703317875,1,0,0,0,0
1.725372875,0,0,0,0,0
1.725383417,0,1,0,0,0
1.725499667,0,0,0,0,0
1.725513417,0,0,1,0,0
1.725628625,0,0,0,0,0
1.725646500,0,0,0,1,0
1.726082167,0,0,0,0,0
1.748762625,0,0,0,1,0
1.749198292,0,0,0,0,0
1.799245375,0,0,0,1,0
1.799681042,0,0,0,0,0
1.849717250,0,0,0,1,0
1.850159000,0,0,0,0,0
1.900200000,0,0,0,1,0
1.900641750,0,0,0,0,0
1.950677917,0,0,0,1,0
1.951113625,0,0,0,0,0
2.001161000,0,0,0,1,0
2.001596667,0,0,0,0,0
2.051643750,0,0,0,1,0
2.052085500,0,0,0,0,0
2.102121667,0,0,0,1,0
2.102557375,0,0,0,0,0
2.152601667,1,0,0,0,0
2.213489792,0,0,0,0,0
2.213500375,0,1,0,0,0
2.213611625,0,0,0,0,0
2.213625375,0,0,1,0,0
2.213740667,0,0,0,0,0
2.213758542,0,0,0,1,0
